co,no,no2,o3,so2,pm2_5,pm10,nh3,year,month,day,hour,pm2_5_category,pm2_5_category_encoded,pm2_5_category_Good,pm2_5_category_Moderate,pm2_5_category_Poor,pm2_5_category_Very Poor
-0.10942524907558701,-0.5067278399295141,0.09023375059791075,-0.5810914564003009,-0.5678567956036414,0.5583412144595229,0.417867840227975,0.13333323644713194,2020,11,25,1,Very Poor,3,False,False,False,True
0.24605860682306832,-0.16757544107581954,0.47167717938643866,-0.7458881299415927,-0.24947741032071502,0.8070967827440676,0.6966534334199366,0.6033839733920058,2020,11,25,2,Very Poor,3,False,False,False,True
0.5641236626226456,0.307270110238086,0.6977406269180513,-0.7361942079685756,0.039976783033711785,0.9956830804746045,0.9052934571111283,0.910185824258523,2020,11,25,3,Very Poor,3,False,False,False,True
0.5641236626226456,0.27845744797192024,0.9235980002039652,-0.669952407819625,0.23274397120056625,0.9565267026452539,0.8755358649269701,0.8719302848294882,2020,11,25,4,Very Poor,3,False,False,False,True
0.5079937108215573,0.14904191466467276,1.0649649327533601,-0.5365988401651708,0.4257134334368506,0.9270821659911648,0.8575315858822155,0.8143575918273762,2020,11,25,5,Very Poor,3,False,False,False,True
0.3396073587232347,-0.08483963993163396,1.0649649327533601,-0.2522437956233341,0.695749316125991,0.8790085521736193,0.7924017614791523,0.6416395128210406,2020,11,25,6,Very Poor,3,False,False,False,True
-0.34329537717353165,-0.30793656675233666,0.8106693135610082,0.2901187106618826,2.393233306783118,0.3294507758516498,0.18381221264616285,-0.4666348274696127,2020,11,25,7,Very Poor,3,False,False,False,True
-0.49765099297405346,-0.35477726350906436,0.9518301718647043,0.3434352815134771,3.0492081139448275,0.16509993632665235,0.012640553453515196,-0.70147081208349,2020,11,25,8,Poor,2,False,False,True,False
-0.5491005293709319,-0.428499047407969,0.895365828543226,0.4411201875492654,2.971939419422542,0.11203796772363153,-0.038302947128420924,-0.723060571959282,2020,11,25,9,Poor,2,False,False,True,False
-0.46490910497424237,-0.49191909731226685,0.5563736943686564,0.5478776103033903,1.7374607736908392,0.14620599076750693,0.008148841425717578,-0.49049719364811956,2020,11,25,10,Poor,2,False,False,True,False
-0.2778116011739094,-0.5213756179530955,0.5846058660293957,0.3256630912296122,0.7535996999829904,0.20474190621476623,0.09075891180362564,-0.14506103563544837,2020,11,25,11,Poor,2,False,False,True,False
-0.11877907327412077,-0.5387597940689945,0.895365828543226,-0.11889022796887999,0.3100126657228519,0.21939795744288845,0.13440338034039095,0.1045468899460761,2020,11,25,12,Poor,2,False,False,True,False
0.03089963042713426,-0.5321602457286996,1.1214292760748386,-0.5055285774311414,0.059192819629568266,0.25268308583446736,0.20249024849508726,0.39241035495663534,2020,11,25,13,Poor,2,False,False,True,False
0.1899286550219797,-0.4347766665609325,1.0649649327533601,-0.7127050893416493,-0.01807587489271771,0.3874128097749164,0.38283248641115486,0.7950404382542993,2020,11,25,14,Very Poor,3,False,False,False,True
0.3396073587232347,-0.2828260901404827,0.8106693135610082,-0.7468823783490817,-0.05650794808443053,0.5519402282303733,0.5849969585956051,0.9677585172606347,2020,11,25,15,Very Poor,3,False,False,False,True
0.39573731052432337,-0.2252007656081511,0.669508455257312,-0.7489951562149957,-0.1432835238699295,0.6594767968800893,0.7144331268633015,0.6416395128210406,2020,11,25,16,Very Poor,3,False,False,False,True
0.3396073587232347,-0.2503112422200051,0.528141522707917,-0.7486223130621873,-0.27840260224921465,0.6903339649778527,0.7440409953131998,0.2579478153793347,2020,11,25,17,Very Poor,3,False,False,False,True
0.17122100662491233,-0.32950582230354464,0.3587484927434817,-0.7461366920434649,-0.4808789457487123,0.5777207520774316,0.6031883923081848,-0.17384738213650436,2020,11,25,18,Very Poor,3,False,False,False,True
-0.04394147307596477,-0.426728436877646,0.17493026558012842,-0.7389283910891701,-0.6643415267217836,0.39447596699328863,0.3745976810268596,-0.49049719364811956,2020,11,25,19,Very Poor,3,False,False,False,True
-0.1655516975717323,-0.4653599393574213,-0.008681887337525895,-0.7325900574914281,-0.7221919105787831,0.28994124016138056,0.2441508775529086,-0.5863254260792663,2020,11,25,20,Very Poor,3,False,False,False,True
-0.23103547357135454,-0.47340816904070787,-0.16406186859444105,-0.7327143385423642,-0.7316987918419963,0.20761131383473005,0.15169647164741115,-0.6200357529028712,2020,11,25,21,Poor,2,False,False,True,False
-0.2684577769753758,-0.45457531158181735,-0.26277143228417893,-0.7396740773947869,-0.7221919105787831,0.1503114509006858,0.07705919011884353,-0.6510947057066421,2020,11,25,22,Poor,2,False,False,True,False
-0.2778116011739094,-0.4104710129174072,-0.34767402151209537,-0.7461366920434649,-0.7124827552461398,0.11424520435437283,0.01859207189034672,-0.6825324262275322,2020,11,25,23,Poor,2,False,False,True,False
-0.25910044947189886,-0.32950582230354464,-0.40413836483357385,-0.7491194372659318,-0.6738484079849968,0.0967638902389018,-0.013635961909100026,-0.6753358396022682,2020,11,26,0,Poor,2,False,False,True,False
-0.15619787337319868,-0.15679081330021555,-0.41815141354109403,-0.7498651235715484,-0.5581476402709982,0.132212110528607,0.019864723631555906,-0.5624630599007594,2020,11,26,1,Poor,2,False,False,True,False
0.12444487902235746,0.22807553015454646,-0.3052227268981372,-0.7497408425206123,-0.2591865656533582,0.31347038264508276,0.22064425127410206,-0.28899276814072805,2020,11,26,2,Very Poor,3,False,False,False,True
0.30218855862415683,0.5376104437737467,-0.12161057398048274,-0.7363184890195117,0.13625924008242407,0.43998918631917433,0.36804726765298834,-0.049232803204301734,2020,11,26,3,Very Poor,3,False,False,False,True
